Condition,PropertyType,PropertySubType,Bedrooms,Bathrooms,AreaNet,AreaGross,Parking,Latitude,Longitude,Parish,Price,PricePerBedroom,BathroomToBedroom,AreaUtilizationRatio,PropertyCategory
New,Homes,Apartment,1,1,41.0,82.0,1,38.7214,-9.1607,Campo de Ourique,315000,315000.0,1.0,0.5,Homes_Apartment
New,Homes,Apartment,1,1,48.0,96.0,1,38.7214,-9.1607,Campo de Ourique,365000,365000.0,1.0,0.5,Homes_Apartment
New,Homes,Apartment,2,2,80.0,160.0,2,38.7214,-9.1607,Campo de Ourique,598000,299000.0,1.0,0.5,Homes_Apartment
New,Homes,Apartment,3,3,121.0,242.0,2,38.7214,-9.1607,Campo de Ourique,892000,297333.3333333333,1.0,0.5,Homes_Apartment
New,Homes,Apartment,2,2,82.0,164.0,2,38.7214,-9.1607,Campo de Ourique,627000,313500.0,1.0,0.5,Homes_Apartment
New,Homes,Apartment,3,3,152.0,304.0,3,38.7214,-9.1607,Campo de Ourique,1100000,366666.6666666667,1.0,0.5,Homes_Apartment
New,Homes,Apartment,3,3,152.0,304.0,1,38.6963,-9.2202,Belem,910000,303333.3333333333,1.0,0.5,Homes_Apartment
New,Homes,Apartment,3,3,157.0,314.0,1,38.6963,-9.2202,Belem,910000,303333.3333333333,1.0,0.5,Homes_Apartment
New,Homes,Apartment,3,4,176.0,352.0,0,38.6963,-9.2202,Belem,1350000,450000.0,1.3333333333333333,0.5,Homes_Apartment
New,Homes,Apartment,2,2,80.0,160.0,0,38.7221,-9.146,Arroios,745000,372500.0,1.0,0.5,Homes_Apartment
New,Homes,Apartment,1,1,95.0,190.0,0,38.7201,-9.1293,Sao Vicente,349000,349000.0,1.0,0.5,Homes_Apartment
New,Homes,Apartment,0,1,52.0,104.0,0,38.7458,-9.0978,Marvila,285000,285000.0,1.0,0.5,Homes_Apartment
New,Homes,Apartment,2,1,139.0,278.0,0,38.7458,-9.0978,Marvila,715000,357500.0,0.5,0.5,Homes_Apartment
New,Homes,Apartment,3,3,204.0,408.0,0,38.7458,-9.0978,Marvila,950000,316666.6666666667,1.0,0.5,Homes_Apartment
New,Homes,Apartment,2,1,145.0,290.0,0,38.7458,-9.0978,Marvila,740000,370000.0,0.5,0.5,Homes_Apartment
New,Homes,Apartment,3,3,227.0,454.0,0,38.7458,-9.0978,Marvila,960000,320000.0,1.0,0.5,Homes_Apartment
New,Homes,Apartment,3,3,174.0,348.0,0,38.7458,-9.0978,Marvila,1000000,333333.3333333333,1.0,0.5,Homes_Apartment
New,Homes,Apartment,3,3,139.0,278.0,0,38.7458,-9.0978,Marvila,810000,270000.0,1.0,0.5,Homes_Apartment
New,Homes,Apartment,3,3,202.0,404.0,0,38.7458,-9.0978,Marvila,1030000,343333.3333333333,1.0,0.5,Homes_Apartment
New,Homes,Apartment,3,3,202.0,404.0,0,38.7458,-9.0978,Marvila,825000,275000.0,1.0,0.5,Homes_Apartment
New,Homes,Apartment,3,3,193.0,386.0,0,38.7458,-9.0978,Marvila,995000,331666.6666666667,1.0,0.5,Homes_Apartment
New,Homes,Apartment,3,3,161.0,322.0,0,38.7458,-9.0978,Marvila,805000,268333.3333333333,1.0,0.5,Homes_Apartment
New,Homes,Apartment,3,3,195.0,390.0,0,38.7458,-9.0978,Marvila,970000,323333.3333333333,1.0,0.5,Homes_Apartment
New,Homes,Apartment,3,3,195.0,390.0,0,38.7458,-9.0978,Marvila,990000,330000.0,1.0,0.5,Homes_Apartment
New,Homes,Apartment,3,3,227.0,454.0,0,38.7458,-9.0978,Marvila,960000,320000.0,1.0,0.5,Homes_Apartment
New,Homes,Apartment,3,3,217.0,434.0,0,38.7458,-9.0978,Marvila,835000,278333.3333333333,1.0,0.5,Homes_Apartment
